name,followers,following,post_no,bio
Erika James,314445,2804,938,Open-source contributor
Valerie Little,323343,1993,539,Student | Coding | Coffee
Daniel Johnson,39952,1961,360,Future entrepreneur
Stephanie Ferguson,137245,2102,481,Open-source contributor
Jennifer Acosta,152413,3924,1492,Photography and travel
Summer Branch,399674,1378,254,Open-source contributor
Samantha Rowe,190105,532,571,Future entrepreneur
Robert Fernandez,147110,3574,659,Open-source contributor
Marco Long,429976,677,1069,Data science learner
Ryan Moody,448255,1312,1027,Machine learning explorer
Isaac Roy,165022,4507,1275,Photography and travel
Joel Thomas,366573,4044,214,Books • Tech • Music
Zachary Smith,378201,236,1557,Books • Tech • Music
Autumn Ballard,3886,4889,1573,Developer in progress
Diane Bates,426498,4347,1355,Building cool things
Reginald Martin,293972,2857,132,Open-source contributor
Ashlee Lopez,19945,3834,556,Photography and travel
Jason Flores,309749,3522,1405,Developer in progress
Mr. Brent Butler DDS,104797,3746,1792,Open-source contributor
Luis Chung,193264,1501,402,Building cool things
Brandy Wiley,240174,4187,563,Photography and travel
Tara Bailey,275468,865,776,Student | Coding | Coffee
Ashley Mueller,107288,3222,526,AI enthusiast | Tech lover
Theresa David,267518,1988,1355,Data science learner
Anthony Clarke,36055,3703,1276,Machine learning explorer
Anne Hernandez,426054,4094,1564,Learning every day
Sheri Ruiz,366423,497,706,Open-source contributor
Tracy Lee,375744,263,1549,Future entrepreneur
Carolyn Wilson,428355,2023,1975,Developer in progress
Erika Schultz,423400,3647,1507,Engineer | Gamer
Jonathan Phillips,392374,2331,48,Future entrepreneur
Tracy Smith,363443,109,1590,Building cool things
Marie Ward,60224,454,1856,Photography and travel
Kristen Rodriguez,31241,4107,442,Learning every day
Linda Hall,369788,4022,391,Open-source contributor
Nicole Patel,257494,4931,729,Future entrepreneur
Keith Bates,255360,2031,499,Learning every day
Julie Sanchez,331595,2687,1829,Books • Tech • Music
Melvin Lane,68661,3093,1036,Engineer | Gamer
Craig Huynh,171336,4959,1833,Open-source contributor
Katelyn Dudley,490141,2065,151,Building cool things
Lori Wilson,250584,1247,1467,Curious mind
Julie Clark,71992,102,329,AI enthusiast | Tech lover
Daniel Phelps,146781,4459,638,Learning every day
Robert Duncan,459858,364,1737,Learning every day
Christina Garcia,493119,4096,867,Books • Tech • Music
Emily Leon,313776,4814,962,Learning every day
Nichole Mendoza,445662,3075,293,Machine learning explorer
Stephanie Palmer,428456,3550,201,Engineer | Gamer
Dylan Gordon,275103,2698,1041,Building cool things
Laura Young,310283,1510,754,Machine learning explorer
Darlene King,132746,4594,1161,Books • Tech • Music
Adam Thomas,390426,2452,1674,Machine learning explorer
Sydney Bradley,321522,3566,1398,AI enthusiast | Tech lover
